Data e hora,minuto,Temperatura (c),Umidade
08:44:48 04/05/2021,1140,22.299999237060547,99.9000015258789
08:54:48 04/05/2021,1150,22.399999618530273,99.9000015258789
09:04:49 04/05/2021,1160,22.399999618530273,99.9000015258789
09:14:49 04/05/2021,1170,22.5,99.9000015258789
09:24:50 04/05/2021,1180,22.5,99.9000015258789
09:34:51 04/05/2021,1190,22.5,99.9000015258789
09:44:51 04/05/2021,1200,22.600000381469727,99.9000015258789
09:54:52 04/05/2021,1210,22.600000381469727,99.9000015258789
10:04:52 04/05/2021,1220,22.700000762939453,99.9000015258789
10:14:56 04/05/2021,1230,22.700000762939453,99.9000015258789
10:24:56 04/05/2021,1240,22.700000762939453,99.9000015258789
10:34:57 04/05/2021,1250,22.799999237060547,99.9000015258789
10:44:57 04/05/2021,1260,22.799999237060547,99.9000015258789
10:54:58 04/05/2021,1270,22.799999237060547,99.9000015258789
11:04:59 04/05/2021,1280,22.899999618530273,99.9000015258789
11:14:59 04/05/2021,1290,22.899999618530273,99.9000015258789
11:25:02 04/05/2021,1300,23.0,99.9000015258789
11:35:03 04/05/2021,1310,23.0,99.9000015258789
11:45:04 04/05/2021,1320,23.0,99.9000015258789
11:55:04 04/05/2021,1330,23.100000381469727,99.9000015258789
12:05:05 04/05/2021,1340,23.100000381469727,99.9000015258789
12:15:05 04/05/2021,1350,23.100000381469727,99.9000015258789
12:25:06 04/05/2021,1360,23.200000762939453,99.9000015258789
12:35:07 04/05/2021,1370,23.200000762939453,99.9000015258789
12:45:10 04/05/2021,1380,23.200000762939453,99.9000015258789
12:55:10 04/05/2021,1390,23.200000762939453,99.9000015258789
13:05:11 04/05/2021,1400,23.299999237060547,99.9000015258789
13:15:14 04/05/2021,1410,23.299999237060547,99.9000015258789
13:25:15 04/05/2021,1420,23.299999237060547,99.9000015258789
13:35:15 04/05/2021,1430,23.299999237060547,99.9000015258789
13:45:16 04/05/2021,1440,23.399999618530273,99.9000015258789
13:55:17 04/05/2021,1450,23.399999618530273,99.9000015258789
14:05:17 04/05/2021,1460,23.399999618530273,99.9000015258789
14:15:18 04/05/2021,1470,23.5,99.9000015258789
14:25:18 04/05/2021,1480,23.5,99.9000015258789
14:35:19 04/05/2021,1490,23.5,99.9000015258789
14:45:20 04/05/2021,1500,23.600000381469727,99.9000015258789
14:55:20 04/05/2021,1510,23.600000381469727,99.9000015258789
15:05:21 04/05/2021,1520,23.600000381469727,99.9000015258789
15:15:22 04/05/2021,1530,23.600000381469727,99.9000015258789
15:25:22 04/05/2021,1540,23.600000381469727,99.9000015258789
15:35:25 04/05/2021,1550,23.700000762939453,99.9000015258789
15:45:26 04/05/2021,1560,23.700000762939453,99.9000015258789
15:55:26 04/05/2021,1570,23.700000762939453,99.9000015258789
